packet_id,timestamp,temperature,pressure,humidity,density,concentration,run_number,distance_m
1748935932,2025-06-03 12:32:12,26,1010,73,5,60,1,10
1748935935,2025-06-03 12:32:15,24,995,43,5,67,1,10
1748935938,2025-06-03 12:32:18,28,1001,48,1,77,1,10
1748935941,2025-06-03 12:32:21,24,1006,70,1,132,1,10
1748935944,2025-06-03 12:32:24,23,992,67,4,85,1,10
1748935947,2025-06-03 12:32:27,29,984,65,2,120,1,10
1748935950,2025-06-03 12:32:30,24,986,34,3,88,1,10
1748935953,2025-06-03 12:32:33,26,990,47,4,108,1,10
1748935956,2025-06-03 12:32:36,24,1012,70,5,80,1,10
1748935959,2025-06-03 12:32:39,26,994,79,5,70,1,10
1748935962,2025-06-03 12:32:42,22,1000,43,5,100,1,10
1748935965,2025-06-03 12:32:45,30,1017,55,2,91,1,10
1748935968,2025-06-03 12:32:48,28,981,74,3,116,1,10
1748935971,2025-06-03 12:32:51,27,1011,77,3,90,1,10
1748935974,2025-06-03 12:32:54,21,985,72,1,131,1,10
1748935977,2025-06-03 12:32:57,24,1017,72,3,75,1,10
1748935980,2025-06-03 12:33:00,22,998,74,5,126,1,10
1748935983,2025-06-03 12:33:03,23,1014,63,4,129,1,10
1748935986,2025-06-03 12:33:06,26,983,48,2,89,1,10
1748935989,2025-06-03 12:33:09,24,994,67,5,133,1,10
1748935992,2025-06-03 12:33:12,20,991,76,4,127,1,10
1748935995,2025-06-03 12:33:15,28,988,35,2,86,1,10
1748935998,2025-06-03 12:33:18,21,985,64,2,50,1,10
1748936001,2025-06-03 12:33:21,29,1014,37,3,112,1,10
1748936004,2025-06-03 12:33:24,26,1016,43,5,135,1,10
1748936007,2025-06-03 12:33:27,25,1012,30,5,105,1,10
1748936010,2025-06-03 12:33:30,20,990,38,1,81,1,10
1748936013,2025-06-03 12:33:33,26,1019,45,3,50,1,10
1748936016,2025-06-03 12:33:36,30,1008,40,3,91,1,10
1748936019,2025-06-03 12:33:39,21,1006,64,5,75,1,10
1748936022,2025-06-03 12:33:42,20,1020,75,5,82,1,10
1748936025,2025-06-03 12:33:45,20,986,76,2,123,1,10
1748936028,2025-06-03 12:33:48,26,1003,37,3,114,1,10
1748936031,2025-06-03 12:33:51,25,991,78,4,147,1,10
1748936034,2025-06-03 12:33:54,28,1008,61,3,115,1,10
1748936037,2025-06-03 12:33:57,26,994,50,2,91,1,10
1748936040,2025-06-03 12:34:00,29,1018,41,4,57,1,10
1748936043,2025-06-03 12:34:03,28,981,66,4,125,1,10
1748936046,2025-06-03 12:34:06,30,1005,67,1,84,1,10
1748936049,2025-06-03 12:34:09,28,1020,38,3,78,1,10
1748936052,2025-06-03 12:34:12,20,999,49,1,117,1,10
1748936055,2025-06-03 12:34:15,22,989,54,4,133,1,10
1748936058,2025-06-03 12:34:18,22,996,57,3,103,1,10
1748936061,2025-06-03 12:34:21,24,999,45,4,75,1,10
1748936064,2025-06-03 12:34:24,20,1010,62,3,142,1,10
1748936067,2025-06-03 12:34:27,21,1012,40,1,128,1,10
1748936070,2025-06-03 12:34:30,29,1003,72,5,85,1,10
1748936073,2025-06-03 12:34:33,21,1001,58,4,145,1,10
1748936076,2025-06-03 12:34:36,24,1014,44,2,145,1,10
1748936079,2025-06-03 12:34:39,21,981,79,2,99,1,10
1748936082,2025-06-03 12:34:42,28,1001,54,3,81,1,10
1748936085,2025-06-03 12:34:45,28,996,71,5,59,1,10
1748936088,2025-06-03 12:34:48,25,1018,58,4,148,1,10
1748936091,2025-06-03 12:34:51,21,1018,32,1,137,1,10
1748936094,2025-06-03 12:34:54,22,1017,51,4,66,1,10
1748936097,2025-06-03 12:34:57,24,1015,33,4,145,1,10
1748936100,2025-06-03 12:35:00,26,1005,71,4,98,1,10
1748936103,2025-06-03 12:35:03,25,992,30,3,148,1,10
1748936106,2025-06-03 12:35:06,29,983,55,5,71,1,10
1748936109,2025-06-03 12:35:09,23,983,70,4,59,1,10
1748936112,2025-06-03 12:35:12,25,1010,42,4,105,1,10
1748936115,2025-06-03 12:35:15,23,1006,39,2,116,1,10
1748936118,2025-06-03 12:35:18,24,1003,38,1,118,1,10
1748936121,2025-06-03 12:35:21,24,1011,65,3,117,1,10
1748936124,2025-06-03 12:35:24,23,1008,55,1,66,1,10
1748936127,2025-06-03 12:35:27,27,994,67,1,58,1,10
1748936130,2025-06-03 12:35:30,29,996,43,3,116,1,10
1748936133,2025-06-03 12:35:33,25,1016,51,4,130,1,10
1748936136,2025-06-03 12:35:36,21,1002,76,5,56,1,10
