packet_id,timestamp,temperature,pressure,humidity,density,concentration,crc_ok
1748936990,2025-06-02 22:29:40,30,989,30,4,130,True
1748936993,2025-06-02 22:29:43,29,981,80,2,150,True
1748936996,2025-06-02 22:29:46,21,989,80,2,106,True
1748936999,2025-06-02 22:29:49,23,1010,68,4,107,True
1748937002,2025-06-02 22:29:52,27,1002,40,3,134,True
1748937005,2025-06-02 22:29:55,27,1010,37,3,147,True
1748937008,2025-06-02 22:29:58,20,1007,48,4,137,True
1748937011,2025-06-02 22:30:01,28,996,35,4,53,True
1748937014,2025-06-02 22:30:04,30,1007,80,4,89,True
1748937017,2025-06-02 22:30:07,29,984,77,3,89,True
1748937020,2025-06-02 22:30:10,20,985,56,2,129,True
1748937023,2025-06-02 22:30:13,23,995,38,4,77,True
1748937026,2025-06-02 22:30:16,24,980,65,3,125,True
1748937029,2025-06-02 22:30:19,22,1001,55,2,98,True
1748937032,2025-06-02 22:30:22,21,1004,62,3,104,True
1748937035,2025-06-02 22:30:25,27,1017,53,2,76,True
1748937038,2025-06-02 22:30:28,21,1004,73,2,117,True
1748937041,2025-06-02 22:30:31,22,1001,75,2,122,True
1748937044,2025-06-02 22:30:34,23,986,63,4,79,True
1748937047,2025-06-02 22:30:37,21,1001,75,2,116,True
1748937050,2025-06-02 22:30:40,24,992,78,3,55,True
1748937053,2025-06-02 22:30:43,21,980,70,1,135,True
1748937056,2025-06-02 22:30:46,20,980,45,1,82,True
1748937059,2025-06-02 22:30:49,26,984,76,5,66,True
1748937062,2025-06-02 22:30:52,23,993,59,1,88,True
1748937065,2025-06-02 22:30:55,25,995,30,3,145,True
1748937068,2025-06-02 22:30:58,28,1001,77,4,107,True
1748937071,2025-06-02 22:31:01,30,998,63,4,147,True
1748937074,2025-06-02 22:31:04,20,983,43,3,62,True
1748937077,2025-06-02 22:31:07,24,998,62,3,133,True
1748937080,2025-06-02 22:31:10,21,1016,45,1,108,True
1748937083,2025-06-02 22:31:13,28,1015,42,3,76,True
1748937086,2025-06-02 22:31:16,26,1004,68,5,67,True
1748937089,2025-06-02 22:31:19,28,1000,66,5,143,True
1748937092,2025-06-02 22:31:22,30,1017,30,2,112,True
1748937095,2025-06-02 22:31:25,29,999,51,1,87,True
1748937098,2025-06-02 22:31:28,28,1001,78,1,108,True
1748937101,2025-06-02 22:31:31,20,996,73,2,95,True
1748937104,2025-06-02 22:31:34,23,983,31,5,127,True
1748937107,2025-06-02 22:31:37,29,1005,33,3,142,True
1748937110,2025-06-02 22:31:40,22,1000,41,4,138,True
