packet_id,timestamp,temperature,pressure,humidity,density,concentration,crc_ok
1748941028,2025-06-03 13:46:49,30,995,61,5,139,True
1748941031,2025-06-03 13:46:52,25,994,61,3,102,True
1748941055,2025-06-03 13:47:16,27,1004,57,3,108,True
1748941058,2025-06-03 13:47:19,30,993,41,5,132,True
1748941061,2025-06-03 13:47:22,25,1012,45,4,91,True
1748941064,2025-06-03 13:47:25,29,991,54,2,145,True
1748941067,2025-06-03 13:47:28,27,1011,75,5,143,True
1748941070,2025-06-03 13:47:31,28,990,42,5,75,True
1748941073,2025-06-03 13:47:34,26,1013,58,5,50,True
1748941076,2025-06-03 13:47:37,20,994,63,5,124,True
1748941079,2025-06-03 13:47:40,24,982,31,3,149,True
1748941082,2025-06-03 13:47:43,28,1005,36,4,89,True
1748941088,2025-06-03 13:47:49,26,990,77,3,122,True
1748941097,2025-06-03 13:47:58,30,1010,63,2,81,True
1748941100,2025-06-03 13:48:01,30,988,50,1,99,True
1748941103,2025-06-03 13:48:04,21,981,33,4,86,True
1748941106,2025-06-03 13:48:07,28,988,55,2,77,True
1748941109,2025-06-03 13:48:10,23,1007,78,5,84,True
1748941112,2025-06-03 13:48:13,21,1012,43,4,57,True
1748941115,2025-06-03 13:48:16,24,983,73,4,132,True
1748941118,2025-06-03 13:48:19,25,992,35,1,121,True
1748941121,2025-06-03 13:48:22,24,985,36,1,70,True
1748941124,2025-06-03 13:48:25,29,998,38,5,113,True
1748941127,2025-06-03 13:48:28,25,980,63,5,95,True
1748941130,2025-06-03 13:48:31,25,1020,42,2,92,True
1748941133,2025-06-03 13:48:34,30,1012,46,1,124,True
1748941136,2025-06-03 13:48:37,27,995,53,4,130,True
1748941139,2025-06-03 13:48:40,20,1010,78,2,105,True
1748941142,2025-06-03 13:48:43,24,1019,60,4,149,True
1748941145,2025-06-03 13:48:46,21,1009,57,3,71,True
1748941148,2025-06-03 13:48:49,27,982,48,2,146,True
1748941157,2025-06-03 13:48:58,21,1008,66,3,122,True
1748941160,2025-06-03 13:49:01,20,1004,79,3,74,True
1748941163,2025-06-03 13:49:04,28,998,75,4,150,True
1748941166,2025-06-03 13:49:07,23,1010,46,3,99,True
1748941169,2025-06-03 13:49:10,22,984,55,2,133,True
1748941172,2025-06-03 13:49:13,28,1000,33,2,105,True
